team	field	league	lat	lon
Arizona Diamondbacks	Chase Field	N	33.445081	-112.066564
Atlanta Braves	Turner Field	N	33.735044	-84.389848
Baltimore Orioles	Oriole Park at Camden Yards	A	39.283487	-76.621914
Boston Red Sox	Fenway Park	A	42.346202	-71.097757
Chicago Cubs	Wrigley Field	N	41.947904	-87.65581
Chicago White Sox	U.S. Cellular Field	A	41.830189	-87.634206
Cincinnati Reds	Great American Ball Park	N	39.096549	-84.509007
Cleveland Indians	Progressive Field	A	41.495506	-81.685286
Colorado Rockies	Coors Field	N	39.755683	-104.99414
Detroit Tigers	Comerica Park	A	42.339474	-83.049027
Miami Marlins	Marlins Park	N	25.778056	-80.219722
Houston Astros	Minute Maid Park	A	29.756778	-95.356324
Kansas City Royals	Kauffman Stadium	A	39.051221	-94.480817
Los Angeles Angels of Anaheim	Angels Stadium	A	33.799925	-117.883194
Los Angeles Dodgers	Dodger Stadium	N	34.073432	-118.24026
Milwaukee Brewers	Miller Park	N	43.028478	-87.971303
Minnesota Twins	Target Field	A	44.981667	-93.258613
New York Mets	Citi Field	N	40.756944	-73.845833
New York Yankees	Yankee Stadium	A	40.826918	-73.928428
Oakland Athletics	Network Associates Coliseum	A	37.751262	-122.201158
Philadelphia Phillies	Citizens Bank Park	N	39.905437	-75.166535
Pittsburgh Pirates	PNC Park	N	40.447265	-80.006626
San Diego Padres	PETCO Park	N	32.706922	-117.157324
San Francisco Giants	SBC Park	N	37.778473	-122.389595
Seattle Mariners	Safeco Field	A	47.59111	-122.33288
St. Louis Cardinals	Busch Stadium	N	38.624005	-90.192793
Tampa Bay Devil Rays	Tropicana Field	A	27.768016	-82.653246
Texas Rangers	The Ballpark in Arlington	A	32.75155	-97.083047
Toronto Blue Jays	Rogers Centre	A	43.641305	-79.389214
Washington Nationals	Nationals Park	N	38.872778	-76.972047
